judul_film,rating,title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,Rating
Brain Damage,2.9166666666666665,Brain Damage,Comedy,Horror,,,,,,,2
Brain Donors,2.888888888888889,Brain Donors,Comedy,,,,,,,,2
Braindead,3.597560975609756,Braindead,Comedy,Fantasy,Horror,,,,,,2
Brainscan,3.1153846153846154,Brainscan,Horror,Sci-Fi,Thriller,,,,,,2
Brainstorm,3.520408163265306,Brainstorm,Sci-Fi,Thriller,,,,,,,2
Brand Upon the Brain! A Remembrance in 12 Chapters,2.642857142857143,Brand Upon the Brain! A Remembrance in 12 Chapters,Adventure,Fantasy,Mystery,,,,,,2
Brannigan,2.6666666666666665,Brannigan,Action,,,,,,,,2
Brassed Off,3.6867469879518073,Brassed Off,Comedy,Drama,Romance,,,,,,2
Bratz,1.1666666666666667,Bratz,Comedy,,,,,,,,2
Braveheart,3.845594179466451,Braveheart,Action,Drama,War,,,,,,2
Brazil,3.903079710144928,Brazil,Comedy,Fantasy,Romance,Sci-Fi,,,,,2
Breach,3.636627906976744,Breach,Drama,Thriller,,,,,,,2
Bread and Roses,3.575,Bread and Roses,Drama,,,,,,,,2
Breaker! Breaker!,4.0,Breaker! Breaker!,Action,Adventure,Crime,,,,,,2
Breakfast at Tiffany's,3.7953795379537953,Breakfast at Tiffany's,Drama,Romance,,,,,,,2
Breakfast of Champions,2.875,Breakfast of Champions,Comedy,Sci-Fi,,,,,,,2
Breakfast on Pluto,3.488095238095238,Breakfast on Pluto,Comedy,Drama,,,,,,,2
Breakheart Pass,4.071428571428571,Breakheart Pass,Western,,,,,,,,2
Breakin',2.5416666666666665,Breakin',Drama,Musical,,,,,,,2
Breakin' 2: Electric Boogaloo,1.6363636363636365,Breakin' 2: Electric Boogaloo,Musical,,,,,,,,2
Breakin' All the Rules,3.15,Breakin' All the Rules,Comedy,Romance,,,,,,,2
Breaking Away,4.038135593220339,Breaking Away,Comedy,Drama,,,,,,,2
Breaking and Entering,3.5,Breaking and Entering,Drama,,,,,,,,2
Breaking the Waves,3.713375796178344,Breaking the Waves,Drama,Mystery,,,,,,,2
Breakout,3.0,Breakout,Action,Adventure,,,,,,,2
Breathing Room,2.75,Breathing Room,Romance,,,,,,,,2
Breezy,4.0,Breezy,Drama,Romance,,,,,,,2
Brenda Starr,1.7,Brenda Starr,Adventure,,,,,,,,2
Brewster's Millions,3.095744680851064,Brewster's Millions,Comedy,,,,,,,,2
Briar Patch,3.0,Briar Patch,Drama,Romance,,,,,,,2
Brick,3.733333333333333,Brick,Crime,Drama,Film-Noir,Mystery,,,,,2
Brick Lane,3.625,Brick Lane,Drama,,,,,,,,2
Bride & Prejudice,3.232142857142857,Bride & Prejudice,Comedy,Musical,Romance,,,,,,2
Bride of Chucky,2.56203007518797,Bride of Chucky,Horror,Thriller,,,,,,,2
Bride of Chucky,2.56203007518797,Bride of Chucky,Comedy,Horror,Thriller,,,,,,2
Bride of Frankenstein,3.863013698630137,Bride of Frankenstein,Drama,Horror,Sci-Fi,,,,,,2
Bride of Re-Animator,3.4285714285714284,Bride of Re-Animator,Comedy,Horror,,,,,,,2
Bride of the Monster,2.75,Bride of the Monster,Horror,Sci-Fi,,,,,,,2
Brideshead Revisited,3.8333333333333335,Brideshead Revisited,Drama,,,,,,,,2
Bridge to Terabithia,3.427927927927928,Bridge to Terabithia,Adventure,Children,Fantasy,,,,,,2
Bridget Jones's Diary,3.371014492753623,Bridget Jones's Diary,Comedy,Drama,Romance,,,,,,2
Bridget Jones: The Edge of Reason,2.9014778325123154,Bridget Jones: The Edge of Reason,Comedy,Drama,Romance,,,,,,2
Brief Encounter,3.8452380952380953,Brief Encounter,Drama,Romance,,,,,,,2
Brigadoon,3.524390243902439,Brigadoon,Fantasy,Musical,Romance,,,,,,2
Brigham City,3.6666666666666665,Brigham City,Crime,Drama,Mystery,,,,,,2
Bright Eyes,3.7,Bright Eyes,Comedy,Drama,,,,,,,2
"Bright Lights, Big City",2.4761904761904763,"Bright Lights, Big City",Drama,,,,,,,,2
Bright Young Things,3.095238095238096,Bright Young Things,Comedy,Drama,,,,,,,2
Brighton Beach Memoirs,3.52,Brighton Beach Memoirs,Comedy,,,,,,,,2
Brimstone & Treacle,3.363636363636364,Brimstone & Treacle,Drama,Thriller,,,,,,,2
Bring It On,3.02880658436214,Bring It On,Comedy,,,,,,,,2
Bring It on Again,1.98,Bring It on Again,Comedy,,,,,,,,2
Bring Me the Head of Alfredo Garcia,3.7115384615384617,Bring Me the Head of Alfredo Garcia,Crime,Drama,Thriller,,,,,,2
Bring on the Night,3.3181818181818183,Bring on the Night,Documentary,Musical,,,,,,,2
Bringing Down the House,2.6941747572815533,Bringing Down the House,Comedy,,,,,,,,2
Bringing Out the Dead,3.2670454545454546,Bringing Out the Dead,Drama,Horror,,,,,,,2
Bringing Up Baby,3.872413793103448,Bringing Up Baby,Comedy,,,,,,,,2
Britannia Hospital,2.571428571428572,Britannia Hospital,Comedy,Drama,,,,,,,2
Britannia Hospital,2.571428571428572,Britannia Hospital,Documentary,,,,,,,,2
Broadcast News,3.625786163522013,Broadcast News,Comedy,Drama,Romance,,,,,,2
Broadway Damage,2.625,Broadway Damage,Comedy,,,,,,,,2
Broadway Danny Rose,3.8676470588235294,Broadway Danny Rose,Comedy,,,,,,,,2
Brokeback Mountain,3.814814814814815,Brokeback Mountain,Drama,Romance,,,,,,,2
Brokedown Palace,3.1083333333333334,Brokedown Palace,Drama,,,,,,,,2
Broken Arrow,2.753384912959381,Broken Arrow,Action,Adventure,Thriller,,,,,,2
Broken Blossoms or The Yellow Man and the Girl,2.8,Broken Blossoms or The Yellow Man and the Girl,Drama,Romance,,,,,,,2
Broken English,3.2,Broken English,Drama,,,,,,,,2
Broken English,3.2,Broken English,Comedy,Drama,Romance,,,,,,2
Broken Flowers,3.641025641025641,Broken Flowers,Comedy,Drama,,,,,,,2
Broken Vessels,4.0,Broken Vessels,Drama,,,,,,,,2
Bronco Billy,2.725,Bronco Billy,Adventure,Drama,Romance,,,,,,2
Bronenosets Potyomkin,3.769230769230769,Bronenosets Potyomkin,Drama,War,,,,,,,2
Brooklyn Rules,2.6666666666666665,Brooklyn Rules,Crime,Drama,Romance,,,,,,2
Brother Bear,3.2115384615384617,Brother Bear,Adventure,Animation,Children,,,,,,2
Brother Can You Spare a Dime,3.1666666666666665,Brother Can You Spare a Dime,Documentary,,,,,,,,2
Brother Minister: The Assassination of Malcolm X,5.0,Brother Minister: The Assassination of Malcolm X,Documentary,,,,,,,,2
Brothers in Trouble,4.0,Brothers in Trouble,Drama,,,,,,,,2
Brothers of the Head,2.5,Brothers of the Head,Drama,,,,,,,,2
Brown Sugar,2.65,Brown Sugar,Romance,,,,,,,,2
Brown's Requiem,2.0,Brown's Requiem,Drama,,,,,,,,2
Brubaker,3.736842105263158,Brubaker,Crime,Drama,,,,,,,2
"Brutti, sporchi e cattivi",4.0,"Brutti, sporchi e cattivi",Comedy,Drama,,,,,,,2
Brève traversée,3.5,Brève traversée,Comedy,Drama,Romance,,,,,,2
Brødre,3.676470588235294,Brødre,Drama,,,,,,,,2
Bu san,2.6,Bu san,Comedy,Drama,,,,,,,2
BubbaHo-Tep,3.4211822660098523,BubbaHo-Tep,Comedy,Horror,,,,,,,2
Bubble,3.092592592592593,Bubble,Crime,Drama,Mystery,,,,,,2
Bubble Boy,2.610169491525424,Bubble Boy,Comedy,,,,,,,,2
Buck Privates,3.625,Buck Privates,Comedy,Musical,,,,,,,2
Buck and the Preacher,3.0,Buck and the Preacher,Western,,,,,,,,2
Bud Abbott Lou Costello Meet Frankenstein,3.125,Bud Abbott Lou Costello Meet Frankenstein,Comedy,Horror,,,,,,,2
Budbringeren,2.75,Budbringeren,Comedy,Thriller,,,,,,,2
Buddy,2.111111111111111,Buddy,Adventure,Children,Drama,,,,,,2
Buddy,2.111111111111111,Buddy,Comedy,,,,,,,,2
Buddy Boy,4.0,Buddy Boy,Drama,Thriller,,,,,,,2
Buena Vista Social Club,3.596330275229358,Buena Vista Social Club,Documentary,Musical,,,,,,,2
Buffalo '66,3.662280701754386,Buffalo '66,Drama,Romance,,,,,,,2
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",2.857142857142857,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",Comedy,Western,,,,,,,2
Buffalo Soldiers,3.462686567164179,Buffalo Soldiers,Comedy,Crime,Drama,War,,,,,2
Buffy the Vampire Slayer,3.01931330472103,Buffy the Vampire Slayer,Action,Comedy,Horror,,,,,,2
Bug,3.131578947368421,Bug,Horror,Mystery,Sci-Fi,,,,,,2
Bug,3.131578947368421,Bug,Drama,Horror,Thriller,,,,,,2
Bugsy,3.3852459016393444,Bugsy,Crime,Drama,,,,,,,2
Bugsy Malone,3.2857142857142856,Bugsy Malone,Children,Comedy,Crime,Musical,,,,,2
Buio Omega,2.0,Buio Omega,Horror,,,,,,,,2
Bull Durham,3.681132075471698,Bull Durham,Comedy,Drama,Romance,,,,,,2
Bulletproof Monk,2.812146892655367,Bulletproof Monk,Action,,,,,,,,2
Bulletproof Monk,2.812146892655367,Bulletproof Monk,Action,Adventure,Sci-Fi,,,,,,2
Bullets Over Broadway,3.697278911564626,Bullets Over Broadway,Comedy,,,,,,,,2
Bullfighter and the Lady,5.0,Bullfighter and the Lady,Action,Drama,Romance,,,,,,2
Bullitt,3.69921875,Bullitt,Action,Crime,Drama,Thriller,,,,,2
Bully,3.433333333333333,Bully,Crime,Drama,Thriller,,,,,,2
Bulworth,3.329608938547486,Bulworth,Comedy,Drama,Romance,,,,,,2
Bunny Lake Is Missing,3.125,Bunny Lake Is Missing,Mystery,Thriller,,,,,,,2
Burden of Dreams,4.0,Burden of Dreams,Documentary,,,,,,,,2
Bure baruta,3.7,Bure baruta,Drama,,,,,,,,2
Burglar,2.4166666666666665,Burglar,Comedy,Crime,,,,,,,2
Burn After Reading,3.688311688311688,Burn After Reading,Horror,,,,,,,,2
Burn After Reading,3.688311688311688,Burn After Reading,Comedy,Crime,,,,,,,2
Burnt Offerings,3.111111111111111,Burnt Offerings,Horror,,,,,,,,2
Bus Stop,3.264705882352941,Bus Stop,Comedy,Drama,Romance,,,,,,2
Bushwhacked,2.2,Bushwhacked,Adventure,Comedy,Crime,Mystery,,,,,2
Bustin' Loose,3.0,Bustin' Loose,Comedy,,,,,,,,2
But I'm a Cheerleader,3.485,But I'm a Cheerleader,Comedy,,,,,,,,2
But I'm a Cheerleader,3.485,But I'm a Cheerleader,Comedy,,,,,,,,2
Butch Cassidy and the Sundance Kid,3.97682119205298,Butch Cassidy and the Sundance Kid,Action,Comedy,Western,,,,,,2
Butch and Sundance: The Early Days,3.1666666666666665,Butch and Sundance: The Early Days,Western,,,,,,,,2
Butterflies Are Free,3.1944444444444446,Butterflies Are Free,Comedy,Drama,,,,,,,2
Butterfly Kiss,2.6666666666666665,Butterfly Kiss,Drama,Thriller,,,,,,,2
Butterfly on a Wheel,2.833333333333333,Butterfly on a Wheel,Crime,Drama,Thriller,,,,,,2
Buying the Cow,3.0,Buying the Cow,Comedy,Romance,,,,,,,2
By the Light of the Silvery Moon,3.3181818181818183,By the Light of the Silvery Moon,Children,Musical,Romance,,,,,,2
By the Sword,3.0,By the Sword,Drama,,,,,,,,2
Bye Bye Love,2.725,Bye Bye Love,Comedy,,,,,,,,2
Byôsoku 5 senchimêtoru,3.0,Byôsoku 5 senchimêtoru,Animation,Drama,Romance,,,,,,2
Bébé's Kids,2.1944444444444446,Bébé's Kids,Animation,Children,Comedy,,,,,,2
Böse Zellen,3.0,Böse Zellen,Drama,,,,,,,,2
C'era una volta il West,4.126666666666667,C'era una volta il West,Action,Drama,Western,,,,,,2
C'est arrivé près de chez vous,3.7714285714285714,C'est arrivé près de chez vous,Comedy,Crime,Drama,Thriller,,,,,2
C.H.O.M.P.S,2.625,C.H.O.M.P.S,Comedy,Sci-Fi,,,,,,,2
C.H.U.D.,2.25,C.H.U.D.,Horror,,,,,,,,2
C.H.U.D. II - Bud the Chud,1.6666666666666667,C.H.U.D. II - Bud the Chud,Comedy,Horror,,,,,,,2
C.S.A.: The Confederate States of America,3.3461538461538463,C.S.A.: The Confederate States of America,Comedy,Drama,,,,,,,2
CB4,2.8529411764705883,CB4,Comedy,,,,,,,,2
CQ,3.142857142857143,CQ,Drama,,,,,,,,2
Caballos salvajes,3.125,Caballos salvajes,Drama,,,,,,,,2
Cabaret,3.875,Cabaret,Musical,War,,,,,,,2
Cabeza de Vaca,4.25,Cabeza de Vaca,Action,Adventure,,,,,,,2
Cabin Boy,2.163636363636364,Cabin Boy,Comedy,,,,,,,,2
Cabin Fever,2.6273584905660377,Cabin Fever,Thriller,,,,,,,,2
Cabin Fever,2.6273584905660377,Cabin Fever,Horror,Thriller,,,,,,,2
Cabin in the Sky,3.75,Cabin in the Sky,Fantasy,Musical,,,,,,,2
Caccia alla volpe,3.25,Caccia alla volpe,Comedy,Crime,,,,,,,2
Caché,3.6006493506493507,Caché,Action,Horror,Sci-Fi,,,,,,2
Caché,3.6006493506493507,Caché,Drama,Thriller,,,,,,,2
Cactus Flower,3.363636363636364,Cactus Flower,Comedy,,,,,,,,2
Caddyshack,3.637362637362637,Caddyshack,Comedy,,,,,,,,2
Caddyshack II,2.0384615384615383,Caddyshack II,Comedy,,,,,,,,2
Cadillac Man,2.9134615384615383,Cadillac Man,Comedy,Crime,,,,,,,2
Cadillac Records,3.0,Cadillac Records,Drama,Musical,,,,,,,2
Caged Heat,1.875,Caged Heat,Action,,,,,,,,2
Cahill U.S. Marshal,2.6666666666666665,Cahill U.S. Marshal,Western,,,,,,,,2
Calamari Union,4.0,Calamari Union,Comedy,,,,,,,,2
Calamity Jane,3.6,Calamity Jane,Musical,Western,,,,,,,2
Calendar Girls,3.4359504132231407,Calendar Girls,Drama,,,,,,,,2
Calendar Girls,3.4359504132231407,Calendar Girls,Comedy,,,,,,,,2
Calendar Girls,3.4359504132231407,Calendar Girls,Drama,,,,,,,,2
California Split,3.863636363636364,California Split,Comedy,Drama,,,,,,,2
California Suite,3.25,California Suite,Comedy,,,,,,,,2
Caligola,2.6171875,Caligola,Drama,Horror,,,,,,,2
Call Northside 777,3.735294117647059,Call Northside 777,Crime,Drama,Film-Noir,,,,,,2
Callas Forever,2.833333333333333,Callas Forever,Drama,,,,,,,,2
Calle 54,4.25,Calle 54,Documentary,Musical,,,,,,,2
Camera Obscura,1.5,Camera Obscura,Crime,Drama,Thriller,,,,,,2
Camilla,2.0,Camilla,Adventure,Drama,Romance,,,,,,2
Camille,3.954545454545455,Camille,Drama,Romance,,,,,,,2
Camille Claudel,3.75,Camille Claudel,Drama,,,,,,,,2
Camp,3.173076923076923,Camp,Comedy,Musical,,,,,,,2
Camp Nowhere,2.659090909090909,Camp Nowhere,Adventure,Children,Comedy,,,,,,2
Camp Rock,1.7,Camp Rock,Comedy,Musical,Romance,,,,,,2
Campanadas a medianoche,2.857142857142857,Campanadas a medianoche,Comedy,Drama,War,,,,,,2
Campus Man,3.125,Campus Man,Comedy,,,,,,,,2
Can't Buy Me Love,3.147887323943662,Can't Buy Me Love,Comedy,Romance,,,,,,,2
Can't Hardly Wait,3.1262626262626263,Can't Hardly Wait,Comedy,Drama,Romance,,,,,,2
Can't Stop the Music,2.5625,Can't Stop the Music,Comedy,Musical,,,,,,,2
Canadian Bacon,2.6802325581395348,Canadian Bacon,Comedy,War,,,,,,,2
Candleshoe,3.235294117647059,Candleshoe,Adventure,Children,Comedy,,,,,,2
Candy,3.4130434782608696,Candy,Comedy,,,,,,,,2
Candy,3.4130434782608696,Candy,Drama,Romance,,,,,,,2
Candyman,2.856617647058824,Candyman,Horror,Thriller,,,,,,,2
Candyman: Farewell to the Flesh,2.5384615384615383,Candyman: Farewell to the Flesh,Fantasy,Horror,,,,,,,2
Cani arrabbiati,4.5,Cani arrabbiati,Drama,Thriller,,,,,,,2
Canicule,3.0,Canicule,Action,Crime,Drama,Thriller,,,,,2
Cannery Row,3.631578947368421,Cannery Row,Drama,,,,,,,,2
Cannibal Holocaust,3.2346938775510203,Cannibal Holocaust,Horror,,,,,,,,2
Cannibal ferox,2.85,Cannibal ferox,Horror,,,,,,,,2
Cannonball Run II,2.180555555555556,Cannonball Run II,Action,Comedy,,,,,,,2
Cape Fear,3.528450363196126,Cape Fear,Horror,,,,,,,,2
Cape Fear,3.528450363196126,Cape Fear,Thriller,,,,,,,,2
Cape Fear,3.528450363196126,Cape Fear,Thriller,,,,,,,,2
Capote,3.793421052631579,Capote,Crime,Drama,,,,,,,2
Capricorn One,3.5689655172413794,Capricorn One,Drama,Sci-Fi,Thriller,,,,,,2
Captain Blood,3.9716981132075473,Captain Blood,Action,Adventure,Romance,,,,,,2
Captain Corelli's Mandolin,2.8493975903614457,Captain Corelli's Mandolin,Drama,Romance,War,,,,,,2
Captain Horatio Hornblower R.N.,3.6818181818181817,Captain Horatio Hornblower R.N.,Action,Adventure,Drama,War,,,,,2
Captain Ron,2.511627906976744,Captain Ron,Adventure,Comedy,,,,,,,2
Captivity,2.3421052631578947,Captivity,Thriller,,,,,,,,2
Capturing the Friedmans,3.939393939393939,Capturing the Friedmans,Documentary,,,,,,,,2
"Car 54, Where Are You?",1.8125,"Car 54, Where Are You?",Comedy,,,,,,,,2
Car Wash,2.840909090909091,Car Wash,Comedy,,,,,,,,2
Carandiru,3.6538461538461537,Carandiru,Crime,Drama,,,,,,,2
Carbon Copy,2.5,Carbon Copy,Comedy,,,,,,,,2
Care Bears Movie II: A New Generation,1.78125,Care Bears Movie II: A New Generation,Animation,Children,,,,,,,2
Career Girls,3.15625,Career Girls,Drama,,,,,,,,2
Careful,3.6666666666666665,Careful,Comedy,Horror,,,,,,,2
Carlito's Way,3.825174825174825,Carlito's Way,Crime,Drama,,,,,,,2
Carman: The Champion,1.8333333333333333,Carman: The Champion,Action,Drama,,,,,,,2
Carmen Jones,3.3,Carmen Jones,Drama,Musical,,,,,,,2
Carmen Miranda: Bananas Is My Business,3.875,Carmen Miranda: Bananas Is My Business,Documentary,,,,,,,,2
Carnages,3.0,Carnages,Drama,,,,,,,,2
Carnal Knowledge,3.5,Carnal Knowledge,Comedy,Drama,,,,,,,2
Carne trémula,3.892156862745098,Carne trémula,Drama,Romance,,,,,,,2
Carnival of Souls,3.671875,Carnival of Souls,Horror,Thriller,,,,,,,2
Carnosaur,1.8928571428571428,Carnosaur,Horror,Sci-Fi,,,,,,,2
Carnosaur 2,1.5,Carnosaur 2,Horror,Sci-Fi,,,,,,,2
Carnosaur 3: Primal Species,0.9285714285714286,Carnosaur 3: Primal Species,Horror,Sci-Fi,,,,,,,2
Carny,3.0,Carny,Drama,,,,,,,,2
Caro diario,4.041666666666667,Caro diario,Comedy,Drama,,,,,,,2
Carolina,2.4375,Carolina,Comedy,Romance,,,,,,,2
Carpool,1.2647058823529411,Carpool,Comedy,Crime,,,,,,,2
Carrie,3.381859756097561,Carrie,Drama,Fantasy,Horror,Thriller,,,,,2
Carrie,3.381859756097561,Carrie,Drama,Romance,,,,,,,2
Carried Away,3.333333333333333,Carried Away,Drama,Romance,,,,,,,2
Carrington,3.1818181818181817,Carrington,Drama,Romance,,,,,,,2
Cars,3.668067226890756,Cars,Animation,Children,Comedy,Fantasy,,,,,2
Cartouche,3.75,Cartouche,Action,Adventure,Comedy,Drama,,,,,2
Casa de los babys,3.4642857142857144,Casa de los babys,Drama,,,,,,,,2
Casablanca,4.228174603174603,Casablanca,Drama,Romance,,,,,,,2
Casanova,3.2341772151898733,Casanova,Action,Adventure,Comedy,Drama,Romance,,,,2
Cashback,3.683823529411765,Cashback,Comedy,Drama,Romance,,,,,,2
Casino,3.821564885496183,Casino,Crime,Drama,,,,,,,2
Casino Royale,3.779940119760479,Casino Royale,Action,Adventure,Comedy,,,,,,2
Casino Royale,3.779940119760479,Casino Royale,Action,Adventure,Thriller,,,,,,2
Casper,2.655807365439093,Casper,Adventure,Children,,,,,,,2
Casque d'or,3.7142857142857135,Casque d'or,Crime,Drama,Romance,,,,,,2
Cassandra's Dream,3.28125,Cassandra's Dream,Crime,Drama,Thriller,,,,,,2
Casshern,2.9482758620689653,Casshern,Action,Drama,Fantasy,Sci-Fi,,,,,2
Cast Away,3.5777649769585254,Cast Away,Drama,,,,,,,,2
Cast a Giant Shadow,3.6666666666666665,Cast a Giant Shadow,Adventure,War,,,,,,,2
Castle Freak,2.8,Castle Freak,Horror,,,,,,,,2
Castle Keep,2.1666666666666665,Castle Keep,Drama,War,,,,,,,2
Casual Sex?,2.44,Casual Sex?,Comedy,,,,,,,,2
Casualties of War,3.431034482758621,Casualties of War,Drama,War,,,,,,,2
Cat Ballou,3.6796875,Cat Ballou,Comedy,Western,,,,,,,2
Cat People,3.213157894736842,Cat People,Horror,,,,,,,,2
Cat People,3.213157894736842,Cat People,Drama,Horror,Romance,Thriller,,,,,2
Cat on a Hot Tin Roof,3.893518518518519,Cat on a Hot Tin Roof,Drama,,,,,,,,2
Cat's Eye,3.204081632653061,Cat's Eye,Horror,,,,,,,,2
Cat-Women of the Moon,2.25,Cat-Women of the Moon,Adventure,Sci-Fi,,,,,,,2
Catch Me If You Can,3.796333002973241,Catch Me If You Can,Crime,Drama,,,,,,,2
Catch That Kid,2.5,Catch That Kid,Action,Adventure,Children,Comedy,Crime,,,,2
Catch a Fire,3.65625,Catch a Fire,Drama,Thriller,,,,,,,2
Catch and Release,3.0681818181818183,Catch and Release,Comedy,Drama,Romance,,,,,,2
Catch-22,3.5636363636363635,Catch-22,Comedy,War,,,,,,,2
Catchfire,2.5,Catchfire,Action,Drama,Thriller,,,,,,2
Catfish in Black Bean Sauce,2.0,Catfish in Black Bean Sauce,Comedy,Drama,,,,,,,2
Cats,4.5,Cats,Musical,,,,,,,,2
Cats Don't Dance,2.6944444444444446,Cats Don't Dance,Animation,Children,Musical,,,,,,2
Catwoman,1.9366197183098592,Catwoman,Action,Crime,Fantasy,,,,,,2
Caught,3.611111111111111,Caught,Drama,Thriller,,,,,,,2
Caught Up,2.75,Caught Up,Crime,,,,,,,,2
Cavalcade,4.0,Cavalcade,Drama,Romance,War,,,,,,2
Cavale,2.25,Cavale,Thriller,,,,,,,,2
Caveman,2.911764705882353,Caveman,Comedy,,,,,,,,2
Caótica Ana,2.0,Caótica Ana,Comedy,Drama,Romance,,,,,,2
Cecil B. DeMented,2.8545454545454545,Cecil B. DeMented,Comedy,,,,,,,,2
Celebrity,2.973684210526316,Celebrity,Comedy,,,,,,,,2
Cellular,3.141509433962264,Cellular,Action,Crime,Drama,Mystery,Thriller,,,,2
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,3.5,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,Documentary,,,,,,,,2
Celtic Pride,2.289473684210526,Celtic Pride,Comedy,,,,,,,,2
Center Stage,3.0254237288135597,Center Stage,Drama,Musical,,,,,,,2
Center Stage: Turn It Up,1.75,Center Stage: Turn It Up,Crime,Drama,,,,,,,2
Central do Brasil,3.9757281553398056,Central do Brasil,Drama,,,,,,,,2
Cerro Torre: Schrei aus Stein,3.333333333333333,Cerro Torre: Schrei aus Stein,Drama,,,,,,,,2
Ceský sen,3.5,Ceský sen,Documentary,,,,,,,,2
Cet amour-là,1.5,Cet amour-là,Drama,Romance,,,,,,,2
Cet obscur objet du désir,4.034090909090909,Cet obscur objet du désir,Drama,,,,,,,,2
Ceux qui m'aiment prendront le train,4.0,Ceux qui m'aiment prendront le train,Drama,,,,,,,,2
Chacun cherche son chat,3.611111111111111,Chacun cherche son chat,Comedy,Romance,,,,,,,2
Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence,3.5,Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence,Drama,,,,,,,,2
Chain Reaction,2.7169811320754715,Chain Reaction,Action,Adventure,Thriller,,,,,,2
Chain of Fools,3.142857142857143,Chain of Fools,Comedy,Crime,,,,,,,2
Chairman of the Board,1.375,Chairman of the Board,Comedy,,,,,,,,2
Champagne,3.0,Champagne,Comedy,,,,,,,,2
Champagne for Caesar,4.0,Champagne for Caesar,Comedy,,,,,,,,2
Chances Are,3.25,Chances Are,Comedy,Romance,,,,,,,2
Change of Habit,1.75,Change of Habit,Drama,,,,,,,,2
Changeling,3.67156862745098,Changeling,Drama,Horror,,,,,,,2
Changeling,3.67156862745098,Changeling,Crime,Drama,Mystery,,,,,,2
Changing Habits,3.5,Changing Habits,Comedy,Drama,,,,,,,2
Changing Lanes,3.316489361702128,Changing Lanes,Drama,Thriller,,,,,,,2
Chao ji ji hua,2.611111111111111,Chao ji ji hua,Action,Comedy,Crime,Thriller,,,,,2
Chaos,3.2419354838709675,Chaos,Comedy,Crime,Drama,,,,,,2
Chaos,3.2419354838709675,Chaos,Action,Crime,Drama,Thriller,,,,,2
Chaos Theory,3.515151515151515,Chaos Theory,Comedy,Drama,Romance,,,,,,2
Chapaev,1.5,Chapaev,Drama,War,,,,,,,2
Chaplin,3.75,Chaplin,Drama,,,,,,,,2
Chapter 27,1.5,Chapter 27,Crime,Drama,,,,,,,2
Charade,3.96474358974359,Charade,Comedy,Crime,Mystery,Romance,Thriller,,,,2
Chariots of Fire,3.740740740740741,Chariots of Fire,Drama,,,,,,,,2
Charley Varrick,3.25,Charley Varrick,Crime,Drama,Thriller,,,,,,2
Charlie Bartlett,3.490740740740741,Charlie Bartlett,Comedy,Drama,,,,,,,2
Charlie Chan and the Curse of the Dragon Queen,3.5,Charlie Chan and the Curse of the Dragon Queen,Comedy,Mystery,,,,,,,2
Charlie Wilson's War,3.8025641025641024,Charlie Wilson's War,Comedy,Drama,War,,,,,,2
Charlie and the Chocolate Factory,3.4640234948604998,Charlie and the Chocolate Factory,Comedy,Drama,Romance,,,,,,2
Charlie and the Chocolate Factory,3.4640234948604998,Charlie and the Chocolate Factory,Drama,Sci-Fi,,,,,,,2
Charlie and the Chocolate Factory,3.4640234948604998,Charlie and the Chocolate Factory,Adventure,Children,Comedy,Fantasy,,,,,2
Charlie's Angels: Full Throttle,2.6419860627177703,Charlie's Angels: Full Throttle,Action,Comedy,,,,,,,2
Charlie's Angels: Full Throttle,2.6419860627177703,Charlie's Angels: Full Throttle,Action,Adventure,Comedy,Crime,Thriller,,,,2
"Charlie, the Lonesome Cougar",3.1666666666666665,"Charlie, the Lonesome Cougar",Adventure,Children,,,,,,,2
Charlotte Gray,3.264705882352941,Charlotte Gray,Drama,Romance,,,,,,,2
Charlotte Sometimes,4.25,Charlotte Sometimes,Drama,Romance,,,,,,,2
Charlotte's Web,3.49163179916318,Charlotte's Web,Animation,Children,,,,,,,2
Charlotte's Web,3.49163179916318,Charlotte's Web,Children,Comedy,Drama,Fantasy,,,,,2
Chasing Amy,3.578212290502793,Chasing Amy,Comedy,Drama,Romance,,,,,,2
Chasing Liberty,2.8875,Chasing Liberty,Comedy,Romance,,,,,,,2
Chasing Papi,2.6666666666666665,Chasing Papi,Comedy,,,,,,,,2
Chattahoochee,3.1,Chattahoochee,Drama,,,,,,,,2
Chavez: Inside the Coup,4.2368421052631575,Chavez: Inside the Coup,Documentary,,,,,,,,2
Che: Part One,4.25,Che: Part One,Drama,War,,,,,,,2
Che: Part Two,4.25,Che: Part Two,Drama,War,,,,,,,2
Cheaper by the Dozen,2.9283216783216783,Cheaper by the Dozen,Comedy,Drama,,,,,,,2
Cheaper by the Dozen,2.9283216783216783,Cheaper by the Dozen,Comedy,Drama,,,,,,,2
Cheaper by the Dozen 2,2.3617021276595747,Cheaper by the Dozen 2,Adventure,Comedy,,,,,,,2
Cheech & Chong's Next Movie,2.891304347826087,Cheech & Chong's Next Movie,Comedy,,,,,,,,2
