title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8
Little Men,Drama,,,,,,,
Face/Off,Comedy,Romance,,,,,,
The Hanging Garden,Drama,Romance,,,,,,
Lawn Dogs,Drama,,,,,,,
Quest for Camelot,Adventure,Animation,Children,Fantasy,,,,
Godzilla,Action,Sci-Fi,Thriller,,,,,
Bulworth,Comedy,Drama,Romance,,,,,
Fear and Loathing in Las Vegas,Adventure,Comedy,Crime,Drama,Fantasy,,,
The Opposite of Sex,Comedy,Drama,,,,,,
I Got the Hook Up,Comedy,,,,,,,
Almost Heroes,Adventure,Comedy,,,,,,
Hope Floats,Comedy,Drama,Romance,,,,,
Insomnia,Crime,Mystery,Thriller,,,,,
Little Boy Blue,Drama,,,,,,,
Coyote Ugly,Horror,Thriller,,,,,,
A Perfect Murder,Thriller,,,,,,,
Jenseits der Stille,Drama,,,,,,,
Six Days Seven Nights,Adventure,Comedy,Romance,,,,,
Can't Hardly Wait,Comedy,Drama,Romance,,,,,
Cousin Bette,Comedy,,,,,,,
High Art,Drama,Romance,,,,,,
The Land Girls,Drama,War,,,,,,
Passion in the Desert,Adventure,Drama,,,,,,
Bacheha-Ye aseman,Comedy,Drama,,,,,,
Dear Jesse,Documentary,,,,,,,
Dream for an Insomniac,Drama,Romance,,,,,,
Hav Plenty,Comedy,,,,,,,
Henry Fool,Comedy,Drama,,,,,,
Mr. Jealousy,Comedy,Romance,,,,,,
Mulan,Adventure,Animation,Children,Comedy,Drama,,,
Resurrection Man,Drama,Thriller,,,,,,
The X Files,Action,Crime,Mystery,Sci-Fi,Thriller,,,
I Went Down,Action,Comedy,Crime,,,,,
Doctor Dolittle,Comedy,,,,,,,
Out of Sight,Comedy,Crime,Drama,Romance,Thriller,,,
Picnic at Hanging Rock,Drama,Mystery,,,,,,
Smoke Signals,Comedy,Drama,,,,,,
Viagem ao Princípio do Mundo,Drama,,,,,,,
Buffalo '66,Drama,Romance,,,,,,
Armageddon,Action,Romance,Sci-Fi,Thriller,,,,
Lethal Weapon 4,Action,Comedy,Crime,Thriller,,,,
Madeline,Children,Comedy,,,,,,
Small Soldiers,Animation,Children,Fantasy,War,,,,
Pi,Sci-Fi,Thriller,,,,,,
What Ever Happened to Baby Jane?,Drama,,,,,,,
There's Something About Mary,Comedy,Romance,,,,,,
Plan 9 from Outer Space,Horror,Sci-Fi,,,,,,
Der Himmel über Berlin,Action,Drama,Romance,War,,,,
The Broadway Melody,Musical,,,,,,,
All Quiet on the Western Front,Action,Drama,War,,,,,
Spirit: Stallion of the Cimarron,Drama,Western,,,,,,
Grand Hotel,Drama,,,,,,,
Cavalcade,Drama,Romance,War,,,,,
Mutiny on the Bounty,Adventure,Drama,,,,,,
The Great Ziegfeld,Drama,Musical,,,,,,
The Life of Emile Zola,Drama,,,,,,,
You Can't Take It with You,Comedy,Romance,,,,,,
How Green Was My Valley,Drama,Musical,Romance,,,,,
Mrs. Miniver,Drama,War,,,,,,
Going My Way,Comedy,,,,,,,
The Lost Weekend,Drama,,,,,,,
The Best Years of Our Lives,Drama,War,,,,,,
Gentleman's Agreement,Drama,,,,,,,
Hamlet,Drama,,,,,,,
All the King's Men,Drama,,,,,,,
The Greatest Show on Earth,Drama,,,,,,,
From Here to Eternity,Drama,Romance,War,,,,,
On the Waterfront,Crime,Drama,,,,,,
Back to the Future,Drama,Romance,,,,,,
West Side Story,Drama,Musical,Romance,,,,,
Tom Jones,Comedy,,,,,,,
A Man for All Seasons,Drama,,,,,,,
In the Heat of the Night,Drama,Mystery,,,,,,
Oliver!,Drama,Musical,,,,,,
Midnight Cowboy,Drama,,,,,,,
The French Connection,Action,Crime,Drama,Thriller,,,,
Rocky,Action,Drama,Romance,,,,,
Kramer vs. Kramer,Drama,,,,,,,
Ordinary People,Drama,,,,,,,
Chariots of Fire,Drama,,,,,,,
Terms of Endearment,Comedy,Drama,,,,,,
Out of Africa,Drama,Romance,,,,,,
The Last Emperor,Drama,,,,,,,
Rain Man,Drama,,,,,,,
Driving Miss Daisy,Drama,,,,,,,
Take the Money and Run,Comedy,Crime,,,,,,
Klute,Drama,Mystery,,,,,,
Repo Man,Comedy,Sci-Fi,,,,,,
Metropolitan,Comedy,,,,,,,
Labyrinth,Adventure,Children,Fantasy,,,,,
The Breakfast Club,Comedy,Drama,,,,,,
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,Thriller,,,,,,
A Nightmare on Elm Street 3: Dream Warriors,Comedy,Fantasy,Horror,Thriller,,,,
A Nightmare on Elm Street 4: The Dream Master,Fantasy,Horror,Thriller,,,,,
A Nightmare on Elm Street: The Dream Child,Horror,,,,,,,
Freddy's Dead: The Final Nightmare,Horror,,,,,,,
Friday the 13th,Horror,,,,,,,
Friday the 13th Part 2,Horror,,,,,,,
Friday the 13th Part III,Horror,,,,,,,
Friday the 13th: The Final Chapter,Horror,,,,,,,
Friday the 13th: A New Beginning,Horror,,,,,,,
Jason Lives: Friday the 13th Part VI,Horror,,,,,,,
Friday the 13th Part VII: The New Blood,Horror,,,,,,,
Friday the 13th Part VIII: Jason Takes Manhattan,Horror,,,,,,,
Halloween,Horror,,,,,,,
Halloween II,Horror,,,,,,,
Halloween III: Season of the Witch,Horror,,,,,,,
Halloween 4: The Return of Michael Myers,Horror,,,,,,,
Halloween 5,Horror,,,,,,,
Prom Night,Horror,,,,,,,
Hello Mary Lou: Prom Night II,Horror,,,,,,,
Prom Night III: The Last Kiss,Horror,,,,,,,
Prom Night IV: Deliver Us from Evil,Horror,,,,,,,
Bride of Chucky,Horror,Thriller,,,,,,
Child's Play 2,Horror,Thriller,,,,,,
Child's Play 3,Comedy,Horror,Thriller,,,,,
Poltergeist,Drama,Fantasy,Horror,Thriller,,,,
Poltergeist II: The Other Side,Horror,Thriller,,,,,,
Poltergeist III,Horror,Thriller,,,,,,
The Exorcist,Horror,Mystery,,,,,,
Exorcist II: The Heretic,Horror,,,,,,,
The Exorcist III,Horror,,,,,,,
Lethal Weapon,Action,Comedy,Crime,Drama,,,,
Lethal Weapon,Action,Comedy,Crime,Drama,,,,
Lethal Weapon 3,Action,Comedy,Crime,Drama,,,,
Gremlins,Comedy,Horror,,,,,,
Gremlins 2: The New Batch,Comedy,Horror,,,,,,
The Goonies,Adventure,Children,Comedy,Fantasy,,,,
The Mask of Zorro,Action,Adventure,Romance,,,,,
Polish Wedding,Comedy,,,,,,,
"This World, Then the Fireworks",Crime,Drama,Film-Noir,,,,,
Soylent Green,Drama,Horror,Sci-Fi,Thriller,,,,
Metropolis,Drama,Romance,Sci-Fi,Thriller,,,,
Back to the Future Part II,Action,Adventure,Comedy,Sci-Fi,,,,
Back to the Future Part III,Comedy,Sci-Fi,Western,,,,,
The Poseidon Adventure,Action,Adventure,Drama,,,,,
Freaky Friday,Children,Comedy,,,,,,
The AbsentMinded Professor,Children,Comedy,Fantasy,,,,,
The Apple Dumpling Gang Rides Again,Children,Comedy,Western,,,,,
Babes in Toyland,Children,Fantasy,Musical,,,,,
Bambi,Animation,Children,Drama,,,,,
Shichinin no samurai,Action,Drama,,,,,,
Dangerous Liaisons,Drama,Romance,,,,,,
Dune,Adventure,Sci-Fi,,,,,,
The Last Temptation of Christ,Drama,,,,,,,
The Godfather: Part III,Action,Crime,Drama,,,,,
The Rapture,Drama,Mystery,,,,,,
Lolita,Drama,Romance,,,,,,
Disturbing Behavior,Horror,Thriller,,,,,,
Jane Austen's Mafia!,Comedy,Crime,,,,,,
Saving Private Ryan,Action,Drama,War,,,,,
Billy's Hollywood Screen Kiss,Comedy,Romance,,,,,,
Dong gong xi gong,Drama,,,,,,,
The Million Dollar Duck,Children,Comedy,,,,,,
The Barefoot Executive,Children,Comedy,,,,,,
The Black Cauldron,Animation,Children,,,,,,
The Black Hole,Sci-Fi,,,,,,,
Blackbeard's Ghost,Children,Comedy,,,,,,
Blank Check,Children,Comedy,,,,,,
Candleshoe,Adventure,Children,Comedy,,,,,
The Cat from Outer Space,Children,Comedy,Sci-Fi,,,,,
Cheetah,Adventure,Children,,,,,,
The Computer Wore Tennis Shoes,Children,Comedy,,,,,,
Condorman,Action,Adventure,Children,Comedy,,,,
D2: The Mighty Ducks,Children,Comedy,,,,,,
Darby O'Gill and the Little People,Adventure,Children,Fantasy,,,,,
The Devil and Max Devlin,Comedy,Fantasy,,,,,,
A Far Off Place,Adventure,Children,Drama,Romance,,,,
Flight of the Navigator,Adventure,Children,Sci-Fi,,,,,
The Gnome-Mobile,Adventure,Children,Fantasy,Musical,,,,
The Great Mouse Detective,Animation,Children,,,,,,
The Happiest Millionaire,Comedy,Musical,,,,,,
Herbie Goes Bananas,Adventure,Children,Comedy,,,,,
Herbie Goes to Monte Carlo,Adventure,Children,Comedy,,,,,
Hocus Pocus,Children,Comedy,,,,,,
Honey I Blew Up the Kid,Children,Comedy,Sci-Fi,,,,,
"Honey, I Shrunk the Kids",Adventure,Children,Comedy,Fantasy,Sci-Fi,,,
Hot Lead and Cold Feet,Comedy,Western,,,,,,
In Search of the Castaways,Adventure,Children,,,,,,
Homeward Bound: The Incredible Journey,Adventure,Children,,,,,,
The Negotiator,Action,Crime,Drama,Mystery,Thriller,,,
The Parent Trap,Children,Comedy,Romance,,,,,
BASEketball,Comedy,,,,,,,
Full Tilt Boogie,Documentary,,,,,,,
The Governess,Drama,Romance,,,,,,
Le septième ciel,Drama,Romance,,,,,,
Roger & Me,Comedy,Documentary,,,,,,
The Purple Rose of Cairo,Comedy,Drama,Fantasy,Romance,,,,
Out of the Past,Film-Noir,,,,,,,
Doctor Zhivago,Drama,Romance,War,,,,,
Fanny och Alexander,Drama,Fantasy,Mystery,,,,,
The Trip to Bountiful,Drama,,,,,,,
Tender Mercies,Drama,,,,,,,
And the Band Played On,Drama,,,,,,,
The 'burbs,Comedy,,,,,,,
Fandango,Comedy,,,,,,,
Il portiere di notte,Crime,Drama,Romance,,,,,
Mephisto,Drama,War,,,,,,
Blue Velvet,Drama,Mystery,Thriller,,,,,
The Journey of Natty Gann,Adventure,Children,,,,,,
The Jungle Book,Animation,Children,Comedy,Musical,,,,
Kidnap,Children,Drama,,,,,,
Lady and the Tramp,Animation,Children,Comedy,Musical,Romance,,,
The Little Mermaid,Animation,Children,Comedy,Musical,Romance,,,
The Mighty Ducks,Children,Comedy,,,,,,
The Muppet Christmas Carol,Children,Fantasy,Musical,,,,,
Newsies,Children,Musical,,,,,,
One Hundred and One Dalmatians,Animation,Children,Comedy,,,,,
One Magic Christmas,Drama,Fantasy,,,,,,
Peter Pan,Animation,Children,Fantasy,Musical,,,,
Popeye,Adventure,Comedy,Musical,,,,,
The Rescuers Down Under,Animation,Children,,,,,,
The Rescuers,Adventure,Animation,Children,Crime,Drama,Fantasy,,
Race to Witch Mountain,Children,Sci-Fi,,,,,,
The Return of Jafar,Adventure,Animation,Children,Comedy,Fantasy,Musical,,
Return to Oz,Adventure,Children,Fantasy,,,,,
The Rocketeer,Action,Adventure,Sci-Fi,,,,,
The Shaggy D.A.,Children,Comedy,,,,,,
Sleeping Beauty,Animation,Children,Musical,,,,,
Something Wicked This Way Comes,Children,Fantasy,Horror,Mystery,,,,
Son of Flubber,Children,Comedy,,,,,,
Song of the South,Adventure,Animation,Children,Musical,,,,
Splash,Comedy,Fantasy,Romance,,,,,
Squanto: A Warrior's Tale,Adventure,Drama,,,,,,
Steamboat Willie,Animation,Children,Comedy,Musical,,,,
Tall Tale,Adventure,Children,Fantasy,Western,,,,
Tex,Drama,,,,,,,
TRON,Action,Adventure,Animation,Sci-Fi,Thriller,,,
Swing Kids,Drama,War,,,,,,
Halloween H20: 20 Years Later,Horror,Thriller,,,,,,
L.A. Story,Comedy,Romance,,,,,,
The Jerk,Comedy,,,,,,,
Dead Men Don't Wear Plaid,Comedy,Crime,Thriller,,,,,
The Man with Two Brains,Comedy,,,,,,,
Grand Canyon,Crime,Drama,,,,,,
Graveyard Shift,Horror,Thriller,,,,,,
The Outsiders,Drama,,,,,,,
Indiana Jones and the Temple of Doom,Action,Adventure,,,,,,
The Lord of the Rings: The Return of the King,Adventure,Animation,Children,Fantasy,,,,
Nineteen Eighty-Four,Drama,Sci-Fi,,,,,,
The Dead Zone,Drama,Fantasy,Horror,Thriller,,,,
Maximum Overdrive,Horror,,,,,,,
Needful Things,Drama,Horror,,,,,,
Cujo,Horror,Thriller,,,,,,
Children of the Corn,Horror,Thriller,,,,,,
All Dogs Go to Heaven,Animation,Children,,,,,,
The Addams Family,Comedy,Fantasy,Horror,,,,,
Ever After,Comedy,Drama,Fantasy,Romance,,,,
Snake Eyes,Action,Crime,Mystery,Thriller,,,,
"First Love, Last Rites",Drama,Romance,,,,,,
Safe Men,Comedy,,,,,,,
Die Salzmänner von Tibet,Documentary,,,,,,,
Atlantic City,Crime,Drama,Romance,,,,,
Höstsonaten,Drama,,,,,,,
Who's Afraid of Virginia Woolf?,Drama,,,,,,,
Adventures in Babysitting,Adventure,Comedy,,,,,,
Weird Science,Comedy,Fantasy,Sci-Fi,,,,,
Doctor Dolittle,Adventure,Musical,,,,,,
The Nutty Professor,Comedy,,,,,,,
Charlotte's Web,Animation,Children,,,,,,
Watership Down,Adventure,Animation,Children,Drama,Fantasy,,,
The Secret of NIMH,Adventure,Animation,Children,Drama,,,,
The Dark Crystal,Adventure,Children,Fantasy,,,,,
An American Tail,Adventure,Animation,Children,Comedy,,,,
An American Tail: Fievel Goes West,Animation,Children,Comedy,,,,,
Legend,Adventure,Fantasy,Romance,,,,,
Sixteen Candles,Comedy,,,,,,,
Pretty in Pink,Comedy,Drama,Romance,,,,,
St. Elmo's Fire,Drama,Romance,,,,,,
The Clan of the Cave Bear,Drama,,,,,,,
House M.D.,Comedy,Horror,,,,,,
House II: The Second Story,Comedy,Horror,,,,,,
The Gods Must Be Crazy,Adventure,Comedy,,,,,,
The Gods Must Be Crazy II,Comedy,,,,,,,
Air Bud: Golden Receiver,Children,Comedy,,,,,,
How Stella Got Her Groove Back,Drama,Romance,,,,,,
Slums of Beverly Hills,Comedy,Drama,,,,,,
Il testimone dello sposo,Comedy,Drama,Romance,,,,,
La femme de chambre du Titanic,Romance,,,,,,,
"Henry: Portrait of a Serial Killer, Part 2",Crime,Horror,,,,,,
Henry: Portrait of a Serial Killer,Crime,Horror,Thriller,,,,,
Rosemary's Baby,Drama,Horror,Thriller,,,,,
The Neverending Story III,Adventure,Children,Fantasy,,,,,
The Neverending Story II: The Next Chapter,Adventure,Children,Fantasy,,,,,
Attack of the Killer Tomatoes!,Comedy,Horror,,,,,,
Surf Nazis Must Die,Drama,,,,,,,
Your Friends & Neighbors,Comedy,Drama,,,,,,
Return to Paradise,Drama,Romance,,,,,,
Blade,Action,Horror,Thriller,,,,,
Dance with Me,Drama,Romance,,,,,,
Dead Man on Campus,Comedy,,,,,,,
Wrongfully Accused,Action,Comedy,,,,,,
Next Stop Wonderland,Comedy,Drama,Romance,,,,,
Strike!,Comedy,Drama,,,,,,
The Navigator: A Mediaeval Odyssey,Adventure,Fantasy,Sci-Fi,,,,,
Beetle Juice,Comedy,Fantasy,,,,,,
Deja Vu,Drama,Romance,,,,,,
Rope,Crime,Drama,Thriller,,,,,
Family Plot,Comedy,Thriller,,,,,,
Frenzy,Thriller,,,,,,,
Topaz,Thriller,,,,,,,
Torn Curtain,Thriller,,,,,,,
Marnie,Drama,Mystery,Romance,Thriller,,,,
The Wrong Man,Drama,Film-Noir,Thriller,,,,,
The Man Who Knew Too Much,Adventure,Drama,Mystery,Thriller,,,,
The Trouble with Harry,Comedy,Mystery,,,,,,
I Confess,Thriller,,,,,,,
Strangers on a Train,Crime,Drama,Film-Noir,Thriller,,,,
Stage Fright,Mystery,Thriller,,,,,,
54,Drama,,,,,,,
I Married a Strange Person!,Animation,Comedy,Fantasy,Sci-Fi,,,,
Why Do Fools Fall in Love,Drama,,,,,,,
Keep the Aspidistra Flying,Comedy,,,,,,,
Regarde la mer,Thriller,,,,,,,
Willow,Action,Adventure,Fantasy,,,,,
The Untouchables,Action,Crime,Drama,,,,,
Dirty Work,Comedy,,,,,,,
Knock Off,Action,,,,,,,
Firelight,Drama,,,,,,,
Griffin & Phoenix,Crime,Drama,,,,,,
Under Capricorn,Drama,,,,,,,
The Paradine Case,Drama,,,,,,,
Lifeboat,Drama,War,,,,,,
Shadow of a Doubt,Film-Noir,Thriller,,,,,,
Saboteur,Thriller,,,,,,,
Mr. & Mrs. Smith,Comedy,Romance,,,,,,
Guilty by Suspicion,Film-Noir,Mystery,Thriller,,,,,
Jamaica Inn,Drama,,,,,,,
The Lady Vanishes,Drama,Mystery,Thriller,,,,,
Young and Innocent,Crime,Thriller,,,,,,
Sabotage,Thriller,,,,,,,
Secret Agent,Thriller,,,,,,,
The Man Who Knew Too Much,Drama,Thriller,,,,,,
Number Seventeen,Thriller,,,,,,,
Rich and Strange,Comedy,Romance,,,,,,
The Skin Game,Drama,,,,,,,
Juno and the Paycock,Drama,,,,,,,
A Perfect Murder,Mystery,Thriller,,,,,,
The Manxman,Drama,,,,,,,
Blackmail,Drama,Thriller,,,,,,
Champagne,Comedy,,,,,,,
The Farmer's Wife,Comedy,,,,,,,
Easy Virtue,Drama,,,,,,,
The Ring,Drama,,,,,,,
The Lodger,Crime,Drama,Thriller,,,,,
The Pleasure Garden,Drama,,,,,,,
Rounders,Drama,,,,,,,
Cube,Horror,Mystery,Sci-Fi,Thriller,,,,
Digging to China,Drama,,,,,,,
Kinsey,Drama,,,,,,,
One Man's Hero,Drama,War,,,,,,
Simon Birch,Drama,,,,,,,
Without Limits,Drama,,,,,,,
Pasqualino Settebellezze,Comedy,Drama,,,,,,
Travolti da un insolito destino nell'azzurro mare d'agosto,Comedy,Drama,,,,,,
My Bodyguard,Drama,,,,,,,
Class,Comedy,,,,,,,
"Grandview, U.S.A.",Drama,,,,,,,
Broadcast News,Comedy,Drama,Romance,,,,,
The Allnighter,Comedy,Romance,,,,,,
Working Girl,Comedy,Drama,Romance,,,,,
Stars and Bars,Comedy,,,,,,,
Married to the Mob,Comedy,,,,,,,
Say Anything...,Comedy,Drama,Romance,,,,,
My Blue Heaven,Comedy,,,,,,,
Men Don't Leave,Drama,,,,,,,
The Cabinet of Dr. Ramirez,Comedy,,,,,,,
Heroes,Comedy,Drama,,,,,,
Toys,Action,Comedy,Fantasy,,,,,
Young Doctors in Love,Comedy,,,,,,,
Parasite,Horror,Sci-Fi,,,,,,
No Small Affair,Comedy,Romance,,,,,,
Shao Lin san shi liu fang,Action,,,,,,,
Blame It on Rio,Comedy,Romance,,,,,,
Filth and Wisdom,Crime,Drama,,,,,,
One Crazy Summer,Comedy,,,,,,,
Last Night,Comedy,Drama,Romance,,,,,
The Seventh Sign,Drama,Fantasy,Thriller,,,,,
We're No Angels,Comedy,Crime,,,,,,
Nothing But Trouble,Adventure,Comedy,,,,,,
The Butcher's Wife,Comedy,Romance,,,,,,
Mortal Thoughts,Mystery,Thriller,,,,,,
A Few Good Men,Crime,Drama,Thriller,,,,,
Indecent Proposal,Drama,Romance,,,,,,
A Century of Cinema,Documentary,,,,,,,
Permanent Midnight,Drama,,,,,,,
One True Thing,Drama,,,,,,,
Rush Hour,Action,Comedy,Crime,Thriller,,,,
Six-String Samurai,Action,Adventure,Sci-Fi,,,,,
A Soldier's Daughter Never Cries,Drama,,,,,,,
Ronin,Action,Crime,Thriller,,,,,
Urban Legend,Horror,Thriller,,,,,,
Clay Pigeons,Crime,,,,,,,
Snitch,Action,Crime,Drama,,,,,
Pecker,Comedy,Drama,,,,,,
The Sheltering Sky,Drama,,,,,,,
Bandit Queen,Drama,,,,,,,
If....,Drama,,,,,,,
The Fiendish Plot of Dr. Fu Manchu,Comedy,,,,,,,
Ils,Sci-Fi,Thriller,,,,,,
The Thing,Action,Horror,Sci-Fi,Thriller,,,,
The Player,Comedy,Crime,Drama,,,,,
Stardust Memories,Comedy,Drama,,,,,,
Edward Scissorhands,Comedy,Drama,Fantasy,Romance,,,,
Overnight Delivery,Comedy,Romance,,,,,,
Shadrach,Drama,,,,,,,
Antz,Adventure,Animation,Children,Comedy,Fantasy,,,
Impostor,Comedy,,,,,,,
A Night at the Roxbury,Comedy,,,,,,,
What Dreams May Come,Adventure,Drama,Fantasy,Romance,,,,
Strangeland,Thriller,,,,,,,
The Battle of the Sexes,Comedy,,,,,,,
The Producers,Comedy,Musical,,,,,,
History of the World: Part I,Comedy,Musical,,,,,,
My Cousin Vinny,Comedy,,,,,,,
Nashville,Drama,Musical,,,,,,
Love Is the Devil: Study for a Portrait of Francis Bacon,Drama,,,,,,,
Slam,Drama,,,,,,,
Holy Man,Comedy,,,,,,,
One Tough Cop,Action,Crime,,,,,,
Detroit 9000,Action,Crime,,,,,,
The Mighty Ducks,Drama,,,,,,,
2010,Sci-Fi,,,,,,,
Children of a Lesser God,Drama,,,,,,,
The Elephant Man,Drama,,,,,,,
Beloved,Drama,,,,,,,
Bride of Chucky,Comedy,Horror,Thriller,,,,,
Practical Magic,Drama,Fantasy,Mystery,Romance,,,,
Life During Wartime,Comedy,,,,,,,
Happiness,Comedy,Drama,,,,,,
Reach the Rock,Comedy,Drama,,,,,,
Apt Pupil,Drama,Thriller,,,,,,
Pleasantville,Comedy,Drama,Fantasy,,,,,
Soldier,Action,Sci-Fi,War,,,,,
Valkyrie,Documentary,,,,,,,
La vita è bella,Comedy,Drama,Romance,War,,,,
Orgazmo,Comedy,,,,,,,
Shattered Image,Drama,Thriller,,,,,,
Tales from the Darkside: The Movie,Horror,,,,,,,
Interview with the Vampire: The Vampire Chronicles,Horror,Western,,,,,,
American History X,Crime,Drama,,,,,,
Hands on a Hard Body: The Documentary,Comedy,Documentary,,,,,,
Living Out Loud,Comedy,Drama,Romance,,,,,
Belly,Crime,Drama,,,,,,
Gods and Monsters,Drama,,,,,,,
The Siege,Action,Thriller,,,,,,
The Waterboy,Comedy,,,,,,,
Elizabeth,Drama,,,,,,,
Velvet Goldmine,Drama,,,,,,,
I Still Know What You Did Last Summer,Horror,Mystery,Thriller,,,,,
I'll Be Home for Christmas,Comedy,Romance,,,,,,
Meet Joe Black,Romance,,,,,,,
Dancing at Lughnasa,Drama,,,,,,,
Hard Core Logo,Comedy,Drama,,,,,,
The Naked Man,Drama,,,,,,,
Runaway Train,Action,Adventure,Drama,Thriller,,,,
Desert Bloom,Drama,,,,,,,
The Stepford Wives,Sci-Fi,Thriller,,,,,,
The Pope of Greenwich Village,Drama,,,,,,,
Sid and Nancy,Drama,,,,,,,
Mona Lisa Smile,Comedy,Thriller,,,,,,
Heart Condition,Comedy,,,,,,,
Le notti di Cabiria,Drama,,,,,,,
The Big Chill,Comedy,Drama,,,,,,
Enemy of the State,Action,Thriller,,,,,,
The Rugrats Movie,Animation,Children,Comedy,,,,,
A Bug's Life,Adventure,Animation,Children,Comedy,,,,
Celebrity,Comedy,,,,,,,
Central do Brasil,Drama,,,,,,,
Savior,Drama,War,,,,,,
Waking Ned,Comedy,,,,,,,
Festen,Drama,,,,,,,
Pink Flamingos,Comedy,,,,,,,
Glen or Glenda,Drama,,,,,,,
Gojira,Action,Horror,Sci-Fi,,,,,
Godzilla,Action,Horror,Sci-Fi,Thriller,,,,
Kingu Kongu tai Gojira,Action,Sci-Fi,,,,,,
King Kong,Action,Adventure,Horror,,,,,
King Kong,Action,Adventure,Horror,,,,,
King Kong Lives,Adventure,Sci-Fi,,,,,,
Desperately Seeking Susan,Comedy,Drama,Romance,,,,,
The Emerald Forest,Action,Adventure,Drama,,,,,
Fletch,Comedy,Crime,Mystery,,,,,
Fletch Lives,Comedy,,,,,,,
Red Sonja,Action,Adventure,Fantasy,,,,,
Gung Ho,Comedy,Drama,,,,,,
The Money Pit,Comedy,,,,,,,
A View to a Kill,Action,Adventure,Thriller,,,,,
Lifeforce,Horror,Sci-Fi,,,,,,
Police Academy,Comedy,Crime,,,,,,
Police Academy 2: Their First Assignment,Comedy,,,,,,,
Police Academy 3: Back in Training,Comedy,,,,,,,
Police Academy 4: Citizens on Patrol,Comedy,,,,,,,
Police Academy 5: Assignment: Miami Beach,Comedy,,,,,,,
Police Academy 6: City Under Siege,Comedy,,,,,,,
Babe: Pig in the City,Children,Comedy,,,,,,
Home Fries,Comedy,Romance,,,,,,
Ringmaster,Comedy,Drama,,,,,,
Very Bad Things,Comedy,Crime,,,,,,
Hamam,Drama,Romance,,,,,,
Psycho,Crime,Horror,Thriller,,,,,
Little Voice,Comedy,,,,,,,
A Simple Plan,Crime,Drama,Thriller,,,,,
Jack Frost,Comedy,Drama,,,,,,
Star Trek: Insurrection,Action,Drama,Romance,Sci-Fi,,,,
The Prince of Egypt,Animation,Musical,,,,,,
Rushmore,Comedy,Drama,,,,,,
Shakespeare in Love,Comedy,Drama,Romance,,,,,
Mass Appeal,Drama,,,,,,,
Miracle on 34th Street,Comedy,Drama,,,,,,
Santa Claus,Adventure,Children,Fantasy,,,,,
Prancer,Children,Drama,,,,,,
Pale Rider,Western,,,,,,,
Rambo: First Blood Part II,Action,War,,,,,,
First Blood,Action,Drama,Thriller,,,,,
Rambo III,Action,Adventure,War,,,,,
The Jewel of the Nile,Action,Adventure,Comedy,Romance,,,,
Romancing the Stone,Action,Adventure,Comedy,Romance,,,,
Cocoon,Comedy,Sci-Fi,,,,,,
Cocoon: The Return,Comedy,Sci-Fi,,,,,,
Rocky II,Action,Drama,,,,,,
Rocky III,Action,Drama,,,,,,
Rocky IV,Action,Drama,,,,,,
Rocky V,Action,Drama,,,,,,
Clue,Comedy,Mystery,,,,,,
Young Sherlock Holmes,Action,Adventure,Mystery,,,,,
Violets Are Blue...,Drama,Romance,,,,,,
Back to School,Comedy,,,,,,,
Heartburn,Comedy,Drama,,,,,,
Nothing in Common,Comedy,,,,,,,
Extremities,Drama,Thriller,,,,,,
The Karate Kid,Drama,,,,,,,
"The Karate Kid, Part II",Action,Adventure,Drama,,,,,
"The Karate Kid, Part III",Action,Adventure,Drama,,,,,
Christmas Vacation,Comedy,,,,,,,
You've Got Mail,Comedy,Romance,,,,,,
The General,Crime,,,,,,,
The Theory of Flight,Comedy,Drama,Romance,,,,,
The Thin Red Line,Action,Drama,War,,,,,
The Faculty,Horror,Sci-Fi,,,,,,
Mighty Joe Young,Action,Adventure,Drama,Fantasy,Thriller,,,
Mighty Joe Young,Adventure,Children,Drama,,,,,
Patch Adams,Comedy,Drama,,,,,,
Stepmom,Drama,,,,,,,
A Civil Action,Drama,,,,,,,
Down in the Delta,Drama,,,,,,,
Hurlyburly,Drama,,,,,,,
Tea with Mussolini,Comedy,Drama,War,,,,,
Wilde,Drama,,,,,,,
Affliction,Drama,,,,,,,
Another Day in Paradise,Drama,,,,,,,
The Hi-Lo Country,Drama,Western,,,,,,
Hilary and Jackie,Drama,,,,,,,
Playing by Heart,Drama,Romance,,,,,,
24 7: Twenty Four Seven,Comedy,Drama,,,,,,
At First Sight,Drama,,,,,,,
Requiem for a Dream,Horror,Thriller,,,,,,
Varsity Blues,Comedy,Drama,,,,,,
Virus,Horror,Sci-Fi,,,,,,
The Garbage Pail Kids Movie,Adventure,Children,Comedy,,,,,
Howard the Duck,Adventure,Comedy,Sci-Fi,,,,,
The Ninth Gate,Horror,,,,,,,
The Gate II: Trespassers,Horror,,,,,,,
The Boy Who Could Fly,Drama,Fantasy,,,,,,
The Fly,Horror,Sci-Fi,,,,,,
The Fly,Drama,Horror,Sci-Fi,,,,,
The Fly II,Horror,Sci-Fi,,,,,,
Running Scared,Action,Comedy,,,,,,
Armed and Dangerous,Comedy,Crime,,,,,,
The Texas Chainsaw Massacre,Horror,,,,,,,
The Texas Chainsaw Massacre 2,Horror,,,,,,,
Leatherface: Texas Chainsaw Massacre III,Comedy,Horror,Thriller,,,,,
